"doc_id","text"
1396786383226753024,"peringatan cuaca wilayah sumatera selatan mei selengkapnya klik tautan "
1396785310688714752," dirasakan magnitudo kedalaman km mei wib koordinat ls bt pusat gempa darat km barat laut lampung barat dirasakan mmi ii liwa "
1396785259694284800," mag mei wib lok ls bt pusat gempa darat km barat laut lampung barat kedlmn km dirasakan mmi ii liwa "
1396782478963011584,"peringatan cuaca wilayah jambi mei selengkapnya klik tautan "
1396776002370498560,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396770700736688128,"peringatan cuaca wilayah sumatera barat mei selengkapnya klik tautan "
1396770384096075776,"peringatan cuaca wilayah sulawesi utara mei selengkapnya klik tautan "
1396770043673812992,"peringatan cuaca wilayah kalimantan utara mei selengkapnya klik tautan "
1396767810483720192,"update prakiraan cuaca esok selasa mei informasi selengkapnya unduh aplikasi info bmkg playstore appstore "
1396767736563265536,"peringatan cuaca wilayah lampung mei selengkapnya klik tautan "
1396762987541581824,"peringatan cuaca wilayah bengkulu mei selengkapnya klik tautan "
1396762135435243520,"peringatan cuaca wilayah jawa timur mei selengkapnya klik tautan "
1396756941934788608,"peringatan cuaca wilayah sumatera selatan mei selengkapnya klik tautan "
1396756474076876800,"peringatan cuaca wilayah jawa mei selengkapnya klik tautan "
1396756371446456320,"update peringatan cuaca wilayah jawa tgl mei pkl wib prakirawan bmkg jawa "
1396755185934888960,"peringatan cuaca wilayah jabodetabek mei selengkapnya klik tautan "
1396754207156277248,"update peringatan cuaca wilayah jabodetabek tgl mei pkl wib prakirawan bmkg pusat "
1396753727478845440,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396750036420100096,"peringatan cuaca wilayah banten mei selengkapnya klik tautan "
1396747589651820544,"update peringatan cuaca wilayah banten tgl mei pkl wib prakirawan bmkg banten "
1396747328527106048,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396744461196038144,"update peringatan cuaca wilayah jawa barat tgl mei pkl wib prakirawan bmkg jawa barat "
1396743121933766656,"peringatan cuaca wilayah jambi mei selengkapnya klik tautan "
1396742347317121024,"peringatan cuaca wilayah nusa tenggara barat mei selengkapnya klik tautan "
1396737889371791360,"peringatan cuaca wilayah gorontalo mei selengkapnya klik tautan "
1396737193557725184,"peringatan cuaca wilayah kepulauan riau mei selengkapnya klik tautan "
1396735511176175616,"peringatan cuaca wilayah jawa timur mei selengkapnya klik tautan "
1396733787841519616,"peringatan cuaca wilayah sumatera barat mei selengkapnya klik tautan "
1396732367994191872,"peringatan cuaca wilayah lampung mei selengkapnya klik tautan "
1396730743179550720,"peringatan cuaca wilayah sulawesi barat mei selengkapnya klik tautan "
1396728949086982144,"peringatan cuaca wilayah sumatera selatan mei selengkapnya klik tautan "
1396728151904903168,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396722664576720896,"peringatan cuaca wilayah sulawesi utara mei selengkapnya klik tautan "
1396721789342937088,"peringatan cuaca wilayah sulawesi utara mei selengkapnya klik tautan "
1396721787690307584,"peringatan cuaca wilayah jabodetabek mei selengkapnya klik tautan "
1396720434893058048,"peringatan cuaca wilayah kepulauan riau mei selengkapnya klik tautan "
1396719795916083200,"peringatan cuaca wilayah jawa mei selengkapnya klik tautan "
1.396719738928e+18,"update peringatan cuaca wilayah jabodetabek tgl mei pkl wib prakirawan bmkg pusat "
1396719432794136576,"update peringatan cuaca wilayah jawa tgl mei pkl wib prakirawan bmkg jawa "
1396716557321981952,"peringatan cuaca wilayah jawa timur mei selengkapnya klik tautan "
1396716184821669888,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396713449187528704,""
1396713315770900480,"halo sobat bmkg mari berjemur yuk lihat prakiraan cuaca esok sd wib unduh aplikasi infobmkg appstore playstore "
1396712359092129792,"peringatan cuaca wilayah kalimantan selatan mei selengkapnya klik tautan "
1396712266691612672,""
1396712126874488832,"halo sobat bmkg mari cek potensi curah hujan wilayah indonesia tanggal mei waspada sobat "
1396711244493512704,""
1396711100612182016,"halo sobat bmkg mari cek potensi curah hujan wilayah jabodetabek tanggal mei waspada sobat "
1396710934027010048,"peringatan cuaca wilayah sulawesi tenggara mei selengkapnya klik tautan "
1396705969002881024,"peringatan cuaca wilayah kepulauan bangka belitung mei selengkapnya klik tautan "
1396704520806141952,"update peringatan cuaca wilayah jawa barat tgl mei pkl wib prakirawan bmkg jawa barat "
1396702195538546688,"halo sobat bmkg peringatan cuaca mei "
1.396699010145e+18,"peringatan cuaca wilayah jabodetabek mei selengkapnya klik tautan "
1396696615759466496,"peringatan cuaca wilayah kepulauan riau mei selengkapnya klik tautan "
1396696350490730496,"update peringatan cuaca wilayah jabodetabek tgl mei pkl wib prakirawan bmkg pusat "
1396696219586420736," dirasakan magnitudo kedalaman km mei wib koordinat ls bt pusat gempa darat km baratlaut lampung dirasakan mmi ii liwa "
1396696148354555904," mag mei wib lok ls bt pusat gempa darat km baratlaut lampung kedlmn km dirasakan mmi ii liwa "
1396694546063396864,"peringatan cuaca wilayah gorontalo mei selengkapnya klik tautan "
1396686020620427264,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396682670051008512,"peringatan cuaca wilayah sulawesi utara mei selengkapnya klik tautan "
1396672035091206144,"peringatan cuaca wilayah kepulauan bangka belitung mei selengkapnya klik tautan "
1396663353158733824,"peringatan cuaca wilayah sulawesi tenggara mei selengkapnya klik tautan "
1396658856281862144,"peringatan cuaca wilayah sulawesi utara mei selengkapnya klik tautan "
1396656325967323136,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396647986315227136,""
1396647799517712384,"halo sobat bmkg prakiraan cuaca esok wilayah dki jakarta perkecamatan diakses link unduh aplikasi infobmkg appstore playstore "
1396632265426292736,"peringatan cuaca wilayah bali mei selengkapnya klik tautan "
1396618383626432512,"peringatan cuaca wilayah sulawesi utara mei selengkapnya klik tautan "
1396614563542433792," mag mei wib lok ls bt pusat gempa laut km barat daya masohi maluku kedlmn km dirasakan mmi iii saparua "
1396614553232830464," dirasakan magnitudo kedalaman km mei wib koordinat ls bt pusat gempa laut km barat daya masohi maluku dirasakan mmi iii saparua "
1396613185604448256,"peringatan cuaca wilayah gorontalo mei selengkapnya klik tautan "
1396608379489984512,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396607806652833792,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396599617735651328,"peringatan cuaca wilayah kepulauan bangka belitung mei selengkapnya klik tautan "
1396565753193664512,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396543129742807040,"update peringatan cuaca wilayah jabodetabek tgl mei pkl wib prakirawan bmkg pusat "
1396542332573343744,"peringatan cuaca wilayah jabodetabek mei selengkapnya klik tautan "
1396526199577346048,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396521287690850304," dirasakan magnitudo kedalaman km mei wib koordinat ls bt pusat gempa darat km timur laut alor dirasakan mmi iiiii kalabahi ii pangururan "
1396521236180520960," mag mei wib lok ls bt pusat gempa darat km timur laut alor kedlmn km dirasakan mmi iiiii kalabahi ii pangururan "
1396502286856167424," dirasakan magnitudo kedalaman km mei wib koordinat ls bt pusat gempa darat km timur laut alor dirasakan mmi iiiii kalabahi "
1396502235396206592," mag mei wib lok ls bt pusat gempa darat km timur laut alor kedlmn km dirasakan mmi iiiii kalabahi "
1396499482934611968,"peringatan cuaca wilayah kalimantan utara mei selengkapnya klik tautan "
1396493979856695296,"peringatan cuaca wilayah sumatera selatan mei selengkapnya klik tautan "
1396483884410306560,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396478623415033856,"update peringatan cuaca wilayah jabodetabek tgl mei pkl wib prakirawan bmkg pusat "
1396477903748042752,"peringatan cuaca wilayah jabodetabek mei selengkapnya klik tautan "
1396472951533305856,"peringatan cuaca wilayah sulawesi utara mei selengkapnya klik tautan "
1396466586937020416,"update peringatan cuaca wilayah jawa barat tgl mei pkl wib prakirawan bmkg jawa barat "
1396460268209655808,"peringatan cuaca wilayah sumatera selatan mei selengkapnya klik tautan "
1396456237101842432,"peringatan cuaca wilayah jawa timur mei selengkapnya klik tautan "
1396446075007868928,"peringatan cuaca wilayah kalimantan utara mei selengkapnya klik tautan "
1396444637632417792,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396437476097421312,"peringatan cuaca wilayah sumatera selatan mei selengkapnya klik tautan "
1396433166106206208,"peringatan cuaca wilayah lampung mei selengkapnya klik tautan "
1396430302734553088,"peringatan cuaca wilayah jawa mei selengkapnya klik tautan "
1396429798637932544,"update peringatan cuaca wilayah jawa tgl mei pkl wib prakirawan bmkg jawa "
1396429343396491264,"peringatan cuaca wilayah papua mei selengkapnya klik tautan "
1396419567451185152,"update peringatan cuaca wilayah jawa barat tgl mei pkl wib prakirawan bmkg jawa barat "
1396413977157009408,"peringatan cuaca wilayah jawa mei selengkapnya klik tautan "
1396413612390977536,"peringatan cuaca wilayah jawa timur mei selengkapnya klik tautan "
1396412643297005568,"update peringatan cuaca wilayah jawa tgl mei pkl wib prakirawan bmkg jawa "
1396410509411291136,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396409501356478464,"peringatan cuaca wilayah sulawesi tenggara mei selengkapnya klik tautan "
1396408839386263552,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396407231055237120,"peringatan cuaca wilayah jabodetabek mei selengkapnya klik tautan "
1396407041820807168,"update peringatan cuaca wilayah jabodetabek tgl mei pkl wib prakirawan bmkg pusat "
1396400039639932928,"peringatan cuaca wilayah lampung mei selengkapnya klik tautan "
1396399889873981440,"peringatan cuaca wilayah papua barat mei selengkapnya klik tautan "
1396399426650861568,"peringatan cuaca wilayah banten mei selengkapnya klik tautan "
1396398449650667520,"update peringatan cuaca wilayah banten tgl mei pkl wib prakirawan bmkg banten "
1396397414278320128,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396394646012526592,"peringatan cuaca wilayah nusa tenggara barat mei selengkapnya klik tautan "
1396390944019161088,"peringatan cuaca wilayah kepulauan bangka belitung mei selengkapnya klik tautan "
1396389980876902400,"peringatan cuaca wilayah jawa timur mei selengkapnya klik tautan "
1396382482384130048,"update prakiraan cuaca esok senin mei informasi selengkapnya unduh aplikasi info bmkg playstore appstore "
1396382154209124352,""
1396382058293850112,"halo sobat bmkg mari cek potensi curah hujan wilayah jabodetabek tanggal mei waspada sobat "
1396381592470245376,""
1396381508802289664,"halo sobat bmkg mari cek potensi curah hujan wilayah indonesia tanggal mei waspada sobat "
1396381377025613824,""
1396381215259693056,"halo sobat bmkg mari berjemur yuk lihat prakiraan cuaca esok sd wib unduh aplikasi infobmkg appstore playstore "
1396381008635723776,"halo sobat bmkg peringatan cuaca mei "
1396380860174114816,""
1396380849440886784,"update peringatan cuaca wilayah jawa tgl mei pkl wib prakirawan bmkg jawa "
1396380765454180352,"halo sobat bmkg prakiraan cuaca esok wilayah dki jakarta perkecamatan diakses link unduh aplikasi infobmkg appstore playstore "
1396379841037885440,"update peringatan cuaca wilayah jawa barat tgl mei pkl wib prakirawan bmkg jawa barat "
1396379176274337792,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396374853599449088,"peringatan cuaca wilayah kalimantan selatan mei selengkapnya klik tautan "
1396370596590592000,"peringatan cuaca wilayah lampung mei selengkapnya klik tautan "
1396370513073565696,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396368738090291200,"peringatan cuaca wilayah kepulauan bangka belitung mei selengkapnya klik tautan "
1396368349689368576,"peringatan cuaca wilayah sulawesi tenggara mei selengkapnya klik tautan "
1396363774945218560,"peringatan cuaca wilayah gorontalo mei selengkapnya klik tautan "
1396360856548507648,"update peringatan cuaca wilayah jabodetabek tgl mei pkl wib prakirawan bmkg pusat "
1396360798188883968,"peringatan cuaca wilayah jabodetabek mei selengkapnya klik tautan "
1396358443590590464,"peringatan cuaca wilayah kepulauan bangka belitung mei selengkapnya klik tautan "
1396357985769644032,"peringatan cuaca wilayah banten mei selengkapnya klik tautan "
1396357261702823936,"peringatan cuaca wilayah papua barat mei selengkapnya klik tautan "
1396356885062713344,"update peringatan cuaca wilayah banten tgl mei pkl wib prakirawan bmkg banten "
1396355426308923392,"peringatan cuaca wilayah jawa timur mei selengkapnya klik tautan "
1396352604192473088,"peringatan cuaca wilayah jawa mei selengkapnya klik tautan "
1396351439945945088,"update peringatan cuaca wilayah jawa tgl mei pkl wib prakirawan bmkg jawa "
1396345068424888320,"peringatan cuaca wilayah kalimantan selatan mei selengkapnya klik tautan "
1396344113616670720,"update peringatan cuaca wilayah jabodetabek tgl mei pkl wib prakirawan bmkg pusat "
1396342461576871936,"peringatan cuaca wilayah lampung mei selengkapnya klik tautan "
1396340508436295680,"peringatan cuaca wilayah gorontalo mei selengkapnya klik tautan "
1396340376709918720,"peringatan cuaca wilayah kalimantan timur mei selengkapnya klik tautan "
1396339026802614272,"peringatan cuaca wilayah nusa tenggara barat mei selengkapnya klik tautan "
1396337733509865472,"peringatan cuaca wilayah jawa timur mei selengkapnya klik tautan "
1396329903209943040,"peringatan cuaca wilayah kepulauan bangka belitung mei selengkapnya klik tautan "
1396328028045598720,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396327169886883840,"update peringatan cuaca wilayah jabodetabek tgl mei pkl wib prakirawan bmkg pusat "
1396326971827646464,"peringatan cuaca wilayah jabodetabek mei selengkapnya klik tautan "
1396315581905727488,"peringatan cuaca wilayah gorontalo mei selengkapnya klik tautan "
1396313926283927552," mag mei wib lok ls bt km baratlaut sumurbanten kedlmn km tdk berpotensi tsunami "
1396313912618881024," magnitudo kedalaman km mei wib koordinat ls bt km baratlaut sumurbanten berpotensi tsunami "
1396313032335060992," magnitudo kedalaman km mei wib koordinat ls bt km baratlaut sumurbanten berpotensi tsunami "
1396313014509326336," mag mei wib lok ls bt km baratlaut sumurbanten kedlmn km tdk berpotensi tsunami "
1396297437900275712,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396291681213829120,"peringatan cuaca wilayah kalimantan timur mei selengkapnya klik tautan "
1396286732941754368," magnitudo kedalaman km mei wib koordinat lu bt km timurlaut melonguanesulut berpotensi tsunami "
1396286631695437824," mag mei wib lok lu bt km timurlaut melonguanesulut kedlmn km tdk berpotensi tsunami "
1396285770730598400,"peringatan cuaca wilayah kepulauan riau mei selengkapnya klik tautan "
1396285183188369408,"peringatan cuaca wilayah kepulauan riau mei selengkapnya klik tautan "
1396269829372342272,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396269568977375232,"peringatan cuaca wilayah kalimantan selatan mei selengkapnya klik tautan "
1396264779170205696,"peringatan cuaca wilayah kepulauan bangka belitung mei selengkapnya klik tautan "
1396245779103186944,"peringatan cuaca wilayah kepulauan bangka belitung mei selengkapnya klik tautan "
1396244691432005632,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396233857829990400,"peringatan cuaca wilayah sulawesi utara mei selengkapnya klik tautan "
1396230011087065088,"peringatan cuaca wilayah kalimantan timur mei selengkapnya klik tautan "
1396214503893655552," dirasakan magnitudo kedalaman km mei wib koordinat ls bt pusat gempa darat km barat laut bukit dirasakan mmi iii bukit "
1396214405059149824," mag mei wib lok ls bt pusat gempa darat km barat laut bukit kedlmn km dirasakan mmi iii bukit "
1396211644783636480,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396210085420883968,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396209277409263616,"peringatan cuaca wilayah kalimantan timur mei selengkapnya klik tautan "
1396194118636761088," dirasakan magnitudo kedalaman km mei wib koordinat ls bt pusat gempa darat km timur laut bukittinggi dirasakan mmi ii bukittinggi "
1396194111074365440," mag mei wib lok ls bt pusat gempa darat km timur laut bukittinggi kedlmn km dirasakan mmi ii bukittinggi "
1396165056535040000,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396160102000861184,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396157560965636096,"peringatan cuaca wilayah kalimantan barat mei selengkapnya klik tautan "
1396152234010759168,"peringatan cuaca wilayah jawa timur mei selengkapnya klik tautan "
1396145798237233152," dirasakan magnitudo kedalaman km mei wib koordinat ls bt pusat gempa laut km barat daya kabupaten bandung dirasakan mmi iiiii cimaung "
1396145761822199808," mag mei wib lok ls bt pusat gempa laut km barat daya kabupaten bandung kedlmn km dirasakan mmi iiiii cimaung "
1396141924214398976," prakiraan cuaca pengendalian jalur transportasi darat periode idul fitri wilayah papua barat papua "
1396141808934027264," prakiraan cuaca pengendalian jalur transportasi darat periode idul fitri wilayah papua barat papua "
1396140805731979264," prakiraan cuaca pengendalian jalur transportasi darat periode idul fitri wilayah maluku maluku utara "
1396140667911372800," prakiraan cuaca pengendalian jalur transportasi darat periode idul fitri wilayah maluku maluku utara "
1396139634355163136," prakiraan cuaca pengendalian jalur transportasi darat periode idul fitri wilayah sulawesi "
1396139267718406144," prakiraan cuaca pengendalian jalur transportasi darat periode idul fitri wilayah sulawesi "
1396137787175227392," prakiraan cuaca pengendalian jalur transportasi darat periode idul fitri wilayah bali ntb ntt "
1396137420765110272," prakiraan cuaca pengendalian jalur transportasi darat periode idul fitri wilayah bali ntb ntt "
1396136206295994368," prakiraan cuaca pengendalian jalur transportasi darat periode idul fitri wilayah kalimantan "
1396136072057286656," prakiraan cuaca pengendalian jalur transportasi darat periode idul fitri wilayah kalimantan "
1396134923006734336," prakiraan cuaca pengendalian jalur transportasi darat periode idul fitri wilayah jawa "
1396134732723757056," prakiraan cuaca pengendalian jalur transportasi darat periode idul fitri wilayah jawa "
1396134451965423616,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396133065307541504," prakiraan cuaca pengendalian jalur transportasi darat periode idul fitri wilayah sumatera berlaku besok pagi "
1396132853256122368," prakiraan cuaca pengendalian jalur transportasi darat periode idul fitri wilayah sumatera berlaku besok pagi "
1396130804435091456,"halo sobat bmkg peringatan cuaca mei "
1396130574012588032,"peringatan cuaca wilayah kalimantan utara mei selengkapnya klik tautan "
1396129674699239424," prakiraan cuaca esok wilayah dki jakarta perkecamatan diakses link unduh aplikasi infobmkg appstore playstore "
1396129436714496000," prakiraan cuaca esok wilayah dki jakarta perkecamatan diakses link unduh aplikasi infobmkg appstore playstore "
1396128583001772032,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396126499095269376,"peringatan cuaca wilayah kalimantan barat mei selengkapnya klik tautan "
1396120883471650816," dirasakan magnitudo kedalaman km mei wib koordinat ls bt pusat gempa dilaut km baratlaut waingapu dirasakan mmi ii waingapu "
1396120834347991040," mag mei wib lok ls bt pusat gempa dilaut km baratlaut waingapu kedlmn km dirasakan mmi ii waingapu "
1396115331182039040,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396104277089611776,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396098527508324352,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396089610229358592,"peringatan cuaca wilayah kalimantan utara mei selengkapnya klik tautan "
1396088522092605440,"peringatan cuaca wilayah kalimantan barat mei selengkapnya klik tautan "
1396085110894600192,"peringatan cuaca wilayah lampung mei selengkapnya klik tautan "
1396081127379533824,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1.39607896017e+18,"peringatan cuaca wilayah jawa timur mei selengkapnya klik tautan "
1396073235863666688,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396072545070157824,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396067983168991232,"peringatan cuaca wilayah jawa barat mei selengkapnya klik tautan "
1396067688477167616,"update peringatan cuaca wilayah jawa barat tgl mei pkl wib prakirawan bmkg jawa barat "
1396066421088522240,"update prakiraan cuaca esok minggu mei informasi selengkapnya unduh aplikasi info bmkg playstore appstore "
1396065041988743168,"peringatan cuaca wilayah kepulauan bangka belitung mei selengkapnya klik tautan "
1396063088550371328,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396060235060572160,"peringatan cuaca wilayah sulawesi barat mei selengkapnya klik tautan "
1396058114894430208,"peringatan cuaca wilayah kalimantan barat mei selengkapnya klik tautan "
1396057208186572800,"update peringatan cuaca wilayah jawa tgl mei pkl wib prakirawan bmkg jawa "
1396051381216169984,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396049543309848576,"peringatan cuaca wilayah lampung mei selengkapnya klik tautan "
1396048190353248256,"peringatan cuaca wilayah sulawesi selatan mei selengkapnya klik tautan "
1396046122116919296,"peringatan cuaca wilayah kalimantan utara mei selengkapnya klik tautan "
1396044353810825216,"peringatan cuaca wilayah maluku mei selengkapnya klik tautan "
1396041485976576000,"peringatan cuaca wilayah sumatera selatan mei selengkapnya klik tautan "
1396038651805532160,"peringatan cuaca wilayah nusa tenggara barat mei selengkapnya klik tautan "
1396034606437081088,"peringatan cuaca wilayah papua mei selengkapnya klik tautan "
1396033028426649600,"peringatan cuaca wilayah kalimantan mei selengkapnya klik tautan "
1396032365894373376,"peringatan cuaca wilayah kepulauan bangka belitung mei selengkapnya klik tautan "
1396032070984429568,"update peringatan cuaca wilayah jawa barat tgl mei pkl wib prakirawan bmkg jawa barat "
1396031619538898944,"peringatan cuaca wilayah jawa barat mei selengkapnya klik tautan "
1396028314037354496,"peringatan cuaca wilayah kalimantan barat mei selengkapnya klik tautan "
1396027084959490048,"update peringatan cuaca wilayah jawa tgl mei pkl wib prakirawan bmkg jawa "
1396024930953617408,"peringatan cuaca wilayah jawa timur mei selengkapnya klik tautan "
1396022448701726720,"peringatan cuaca wilayah jabodetabek mei selengkapnya klik tautan "
1396022016113668096,"peringatan cuaca wilayah sulawesi barat mei selengkapnya klik tautan "
1396021874501382144,"update peringatan cuaca wilayah jabodetabek tgl mei pkl wib prakirawan bmkg pusat "
1396021189416390656,"peringatan cuaca wilayah lampung mei selengkapnya klik tautan "
1396020718966431744," magnitudo kedalaman km mei wib koordinat ls bt km baratdaya engganobengkulu berpotensi tsunami "
1396020629430706176," mag mei wib lok ls bt km baratdaya engganobengkulu kedlmn km tdk berpotensi tsunami "
1396019137155981312,"peringatan cuaca wilayah kepulauan riau mei selengkapnya klik tautan "
1396015876428615680,"peringatan cuaca wilayah banten mei selengkapnya klik tautan "
